date,price
2019-03-20,23.3
2019-03-21,23.35
2019-03-22,23.6
2019-03-25,23.45
2019-03-26,23.55
2019-03-27,23.45
2019-03-28,23.6
2019-03-29,23.75
2019-04-01,23.85
2019-04-02,24
2019-04-03,24
2019-04-08,23.95
2019-04-09,24
2019-04-10,24
2019-04-11,23.9
2019-04-12,23.85
2019-04-15,24
2019-04-16,23.9
2019-04-17,23.95
2019-04-18,24
2019-04-19,24.1
2019-04-22,24.2
2019-04-23,24.25
2019-04-24,24.25
2019-04-25,24.25
2019-04-26,24.75
2019-04-29,25.4
2019-04-30,25.35
2019-05-02,25.5
2019-05-03,25.3
2019-05-06,25
2019-05-07,25.15
2019-05-08,25.1
2019-05-09,25
2019-05-10,25
2019-05-13,25.2
2019-05-14,25
2019-05-15,25.15
2019-05-16,25.1
2019-05-17,25.15
2019-05-20,25.5
2019-05-21,26.2
2019-05-22,26.05
2019-05-23,25.95
2019-05-24,26.1
2019-05-27,26.35
2019-05-28,26.65
