date,price
2009/11/23,62
2009/11/24,62.400002
2009/11/25,62.700001
2009/11/26,62
2009/11/27,60
2009/11/30,61.099998
2009/12/1,60.700001
2009/12/2,60.799999
2009/12/3,61.5
2009/12/4,61.5
2009/12/7,62.5
2009/12/8,62.400002
2009/12/9,62.400002
2009/12/10,61.299999
2009/12/11,62.599998
2009/12/14,62.700001
2009/12/15,62.700001
2009/12/16,61.799999
2009/12/17,62.200001
2009/12/18,61.900002
2009/12/21,62.200001
2009/12/22,62.900002
2009/12/23,63.400002
2009/12/24,63.599998
2009/12/25,63.400002
2009/12/28,63.700001
2009/12/29,63.299999
2009/12/30,63.900002
2009/12/31,64.5
2010/1/4,64.900002
2010/1/5,64.5
2010/1/6,64.900002
2010/1/7,64.199997
2010/1/8,64
2010/1/11,64.5
2010/1/12,63.599998
2010/1/13,62.799999
2010/1/14,63.200001
2010/1/15,63.5
2010/1/18,62.900002
2010/1/19,62.5
2010/1/20,63
2010/1/21,62.599998
2010/1/22,61.099998
2010/1/25,60.400002
2010/1/26,60.099998
2010/1/27,59.599998
2010/1/28,60
2010/1/29,61.5
2010/2/1,59.799999
2010/2/2,59
2010/2/3,59.799999
2010/2/4,59.099998
2010/2/5,57.200001
2010/2/8,57.400002
2010/2/9,58.599998
2010/2/10,58.400002
2010/2/22,59
2010/2/23,59.799999
2010/2/24,58.5
2010/2/25,58.200001
2010/2/26,58.799999
2010/3/1,59.599998
2010/3/2,59.900002
2010/3/3,60
2010/3/4,59.200001
2010/3/5,60.400002
2010/3/8,61.200001
2010/3/9,61.299999
2010/3/10,61.400002
2010/3/11,61.400002
2010/3/12,60.799999
2010/3/15,59.799999
2010/3/16,59.700001
2010/3/17,60.5
2010/3/18,60.400002
2010/3/19,60
2010/3/22,59
2010/3/23,59.599998
2010/3/24,60.599998
2010/3/25,61.5
2010/3/26,62
2010/3/29,62.200001
2010/3/30,62.200001
2010/3/31,61.5
2010/4/1,62.099998
2010/4/2,62.400002
2010/4/6,63.400002
2010/4/7,63.5
2010/4/8,62.299999
2010/4/9,62.700001
2010/4/12,63.099998
2010/4/13,62.900002
2010/4/14,63.799999
2010/4/15,64.400002
2010/4/16,63
2010/4/19,62.599998
2010/4/20,62.799999
2010/4/21,62.400002
2010/4/22,61.599998
2010/4/23,61.700001
2010/4/26,63.5
2010/4/27,63.700001
2010/4/28,62.099998
2010/4/29,61.599998
2010/4/30,61.799999
2010/5/3,61.599998
2010/5/4,61
2010/5/5,59.799999
2010/5/6,59.5
2010/5/7,59.400002
2010/5/10,59.799999
2010/5/11,60.099998
2010/5/12,60.099998
2010/5/13,61.200001
2010/5/14,61.200001
2010/5/17,59.200001
2010/5/18,59.5
2010/5/19,59.299999
2010/5/20,58.900002
2010/5/21,58.799999
2010/5/24,59
2010/5/25,58.400002
2010/5/26,58.900002
2010/5/27,58.700001
2010/5/28,58.700001
2010/5/31,60.200001
2010/6/1,59.799999
2010/6/2,59.799999
2010/6/3,60.799999
2010/6/4,61
2010/6/7,59.200001
2010/6/8,58.5
2010/6/9,58.599998
2010/6/10,59.400002
2010/6/11,60.5
2010/6/14,61.099998
2010/6/15,61.400002
2010/6/17,62.099998
2010/6/18,62.700001
2010/6/21,63.299999
2010/6/22,62.599998
2010/6/23,62.099998
2010/6/24,62
2010/6/25,61.400002
2010/6/28,61.700001
2010/6/29,61
2010/6/30,60.599998
2010/7/1,60.200001
2010/7/2,60.299999
2010/7/5,61.400002
2010/7/6,59.900002
2010/7/7,59.5
2010/7/8,60.400002
2010/7/9,60.400002
2010/7/12,59.799999
2010/7/13,59.599998
2010/7/14,60.400002
2010/7/15,60.299999
2010/7/16,59.900002
2010/7/19,61.099998
2010/7/20,61.5
2010/7/21,61.799999
2010/7/22,62
2010/7/23,62.799999
2010/7/26,62.599998
2010/7/27,62.5
2010/7/28,63
2010/7/29,63
2010/7/30,62.400002
2010/8/2,62.299999
2010/8/3,62
2010/8/4,62
2010/8/5,61.900002
2010/8/6,60.900002
2010/8/9,60.700001
2010/8/10,61
2010/8/11,61
2010/8/12,60.200001
2010/8/13,60.099998
2010/8/16,60.299999
2010/8/17,59.799999
2010/8/18,59.599998
2010/8/19,60.099998
2010/8/20,59.900002
2010/8/23,60.099998
2010/8/24,59.599998
2010/8/25,58.700001
2010/8/26,58.799999
2010/8/27,58.799999
2010/8/30,59.400002
2010/8/31,58.900002
2010/9/1,59.099998
2010/9/2,59.5
2010/9/3,59.799999
2010/9/6,60.5
2010/9/7,60.200001
2010/9/8,59.299999
2010/9/9,59.5
2010/9/10,59.299999
2010/9/13,60.900002
2010/9/14,61
2010/9/15,61.200001
2010/9/16,60.5
2010/9/17,61.200001
2010/9/20,62
2010/9/21,61.799999
2010/9/23,60
2010/9/24,60.099998
2010/9/27,60.700001
2010/9/28,61
2010/9/29,61.5
2010/9/30,62
2010/10/1,62
2010/10/4,61.900002
2010/10/5,61.099998
2010/10/6,61.799999
2010/10/7,61.299999
2010/10/8,61.799999
2010/10/11,61.5
2010/10/12,61
2010/10/13,61
2010/10/14,61.799999
2010/10/15,61.900002
2010/10/18,60.5
2010/10/19,60.700001
2010/10/20,61
2010/10/21,61
2010/10/22,61.799999
2010/10/25,62
2010/10/26,62.299999
2010/10/27,62
2010/10/28,62.700001
2010/10/29,62.799999
2010/11/1,63.5
2010/11/2,63.299999
2010/11/3,63.900002
2010/11/4,63.900002
2010/11/5,64.199997
