date,price
2019-02-28,143.46
2019-03-01,144.42
2019-03-04,143.75
2019-03-05,143.48
2019-03-06,142.39
2019-03-07,141.28
2019-03-08,140.99
2019-03-11,143.06
2019-03-12,143.54
2019-03-13,144.46
2019-03-14,144.34
2019-03-15,145.01
2019-03-18,145.55
2019-03-19,145.52
2019-03-20,144.92
2019-03-21,146.62
2019-03-22,143.56
2019-03-25,142.69
2019-03-26,143.79
2019-03-27,143.13
2019-03-28,143.76
2019-03-29,144.71
2019-04-01,146.39
2019-04-02,146.38
2019-04-03,146.73
2019-04-04,147.04
2019-04-05,147.78
2019-04-08,147.91
2019-04-09,147.02
2019-04-10,147.70
2019-04-11,147.69
2019-04-12,148.68
2019-04-15,148.56
2019-04-16,148.60
2019-04-17,148.05
2019-04-18,148.27
2019-04-22,148.31
2019-04-23,149.80
2019-04-24,149.60
2019-04-25,149.35
2019-04-26,150.16
2019-04-29,150.38
2019-04-30,150.39
2019-05-01,149.27
2019-05-02,149.02
2019-05-03,150.63
2019-05-06,150.15
2019-05-07,147.56
2019-05-08,147.32
2019-05-09,146.85
2019-05-10,147.53
2019-05-13,143.80
2019-05-14,145.10
